Date,Open,High,Low,Close,Volume
03-01-2017,997.03,1002.18,994.79,1000.6,0
04-01-2017,1002.02,1004.8,1001.44,1003.87,0
05-01-2017,1003.44,1004.79,1000.32,1004.14,0
06-01-2017,1005.44,1010.26,1002.04,1008.15,0
09-01-2017,1006.67,1008.01,1005.59,1005.65,0
10-01-2017,1005.71,1009.43,1003.18,1004.49,0
11-01-2017,1004.1,1007.12,1000.33,1006.93,0
12-01-2017,1005.21,1005.58,998.3,1004.98,0
13-01-2017,1006.2,1008.91,1005.21,1006.59,0
17-01-2017,1003.54,1004.67,1000.8,1003.17,0
18-01-2017,1003.72,1004.06,1001.4,1003.85,0
19-01-2017,1003.3,1004.35,997.9,1000.11,0
20-01-2017,1002.83,1005.64,1000.57,1003.04,0
23-01-2017,1001.31,1003.2,997.09,1000.5,0
24-01-2017,1000.82,1007.05,999.09,1004.99,0
25-01-2017,1009.16,1013.81,1008.34,1013.24,0
26-01-2017,1013.21,1014.16,1011.71,1013.12,0
27-01-2017,1014.16,1014.29,1011.63,1012.93,0
30-01-2017,1009.15,1009.28,1001.97,1006.94,0
31-01-2017,1003.14,1004.55,999.95,1004.46,0
